Basic,(-3.50, 0.00, -3.50)
Basic,(-2.50, 0.00, -3.50)
Basic,(-1.50, 0.00, -3.50)
Basic,(-0.50, 0.00, -3.50)
Basic,(0.50, 0.00, -3.50)
Basic,(1.50, 0.00, -3.50)
Basic,(2.50, 0.00, -3.50)
Basic,(3.50, 0.00, -3.50)
Basic,(4.50, 0.00, -3.50)
Basic,(5.50, 0.00, -3.50)
Basic,(6.50, 0.00, -3.50)
Basic,(7.50, 0.00, -3.50)
Basic,(8.50, 0.00, -3.50)
Basic,(9.50, 0.00, -3.50)
Basic,(10.50, 0.00, -3.50)
Basic,(11.50, 0.00, -3.50)
Basic,(12.50, 0.00, -3.50)
Basic,(-3.50, 0.00, -2.50)
Basic,(-2.50, 0.00, -2.50)
Basic,(-1.50, 0.00, -2.50)
Basic,(-0.50, 0.00, -2.50)
Basic,(0.50, 0.00, -2.50)
Basic,(1.50, 0.00, -2.50)
Basic,(2.50, 0.00, -2.50)
Basic,(3.50, 0.00, -2.50)
Basic,(4.50, 0.00, -2.50)
Basic,(5.50, 0.00, -2.50)
Basic,(6.50, 0.00, -2.50)
Basic,(7.50, 0.00, -2.50)
Basic,(8.50, 0.00, -2.50)
Basic,(9.50, 0.00, -2.50)
Basic,(10.50, 0.00, -2.50)
Basic,(11.50, 0.00, -2.50)
Basic,(12.50, 0.00, -2.50)
Basic,(-3.50, 0.00, -1.50)
Basic,(-2.50, 0.00, -1.50)
Basic,(-1.50, 0.00, -1.50)
Basic,(-0.50, 0.00, -1.50)
Basic,(0.50, 0.00, -1.50)
Basic,(1.50, 0.00, -1.50)
Basic,(2.50, 0.00, -1.50)
Basic,(3.50, 0.00, -1.50)
Basic,(4.50, 0.00, -1.50)
Basic,(5.50, 0.00, -1.50)
Basic,(6.50, 0.00, -1.50)
Basic,(7.50, 0.00, -1.50)
Basic,(8.50, 0.00, -1.50)
Basic,(9.50, 0.00, -1.50)
Basic,(10.50, 0.00, -1.50)
Basic,(11.50, 0.00, -1.50)
Basic,(12.50, 0.00, -1.50)
Basic,(-3.50, 0.00, -0.50)
Basic,(-2.50, 0.00, -0.50)
Basic,(-1.50, 0.00, -0.50)
Basic,(-0.50, 0.00, -0.50)
Basic,(0.50, 0.00, -0.50)
Basic,(1.50, 0.00, -0.50)
Basic,(2.50, 0.00, -0.50)
Basic,(3.50, 0.00, -0.50)
Basic,(4.50, 0.00, -0.50)
Basic,(5.50, 0.00, -0.50)
Basic,(6.50, 0.00, -0.50)
Basic,(7.50, 0.00, -0.50)
Basic,(8.50, 0.00, -0.50)
Basic,(9.50, 0.00, -0.50)
Basic,(10.50, 0.00, -0.50)
Basic,(11.50, 0.00, -0.50)
Basic,(12.50, 0.00, -0.50)
Basic,(-3.50, 0.00, 0.50)
Basic,(-2.50, 0.00, 0.50)
Basic,(-1.50, 0.00, 0.50)
Basic,(-0.50, 0.00, 0.50)
Basic,(0.50, 0.00, 0.50)
Basic,(1.50, 0.00, 0.50)
Basic,(2.50, 0.00, 0.50)
Basic,(3.50, 0.00, 0.50)
Basic,(4.50, 0.00, 0.50)
Basic,(5.50, 0.00, 0.50)
Basic,(6.50, 0.00, 0.50)
Basic,(7.50, 0.00, 0.50)
Basic,(8.50, 0.00, 0.50)
Basic,(9.50, 0.00, 0.50)
Basic,(10.50, 0.00, 0.50)
Basic,(11.50, 0.00, 0.50)
Basic,(12.50, 0.00, 0.50)
Basic,(-3.50, 0.00, 1.50)
Basic,(-2.50, 0.00, 1.50)
Basic,(-1.50, 0.00, 1.50)
Basic,(-0.50, 0.00, 1.50)
Basic,(0.50, 0.00, 1.50)
Basic,(1.50, 0.00, 1.50)
Basic,(2.50, 0.00, 1.50)
Basic,(3.50, 0.00, 1.50)
Basic,(4.50, 0.00, 1.50)
Basic,(5.50, 0.00, 1.50)
Basic,(6.50, 0.00, 1.50)
Basic,(7.50, 0.00, 1.50)
Basic,(8.50, 0.00, 1.50)
Basic,(9.50, 0.00, 1.50)
Basic,(10.50, 0.00, 1.50)
Basic,(11.50, 0.00, 1.50)
Basic,(12.50, 0.00, 1.50)
Basic,(-3.50, 0.00, 2.50)
Basic,(-2.50, 0.00, 2.50)
Basic,(-1.50, 0.00, 2.50)
Basic,(-0.50, 0.00, 2.50)
Basic,(0.50, 0.00, 2.50)
Basic,(1.50, 0.00, 2.50)
